"ARREST_KEY","ARREST_DATE","PD_CD","PD_DESC","KY_CD","OFNS_DESC","LAW_CODE","LAW_CAT_CD","ARREST_BORO","ARREST_PRECINCT","JURISDICTION_CODE","AGE_GROUP","PERP_SEX","PERP_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
289428003,2024-07-02,105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211200","F","B",44,0,"45-64","M","BLACK",1004861,244407,40.837493,-73.925513,"POINT (-73.925513 40.837493)"
289416656,2024-07-02,153,"RAPE 3",104,"RAPE","PL 1302503","F","Q",112,0,"25-44","M","WHITE HISPANIC",1025401,202586,40.7226409964758,-73.8515418216779,"POINT (-73.8515418216779 40.7226409964758)"
289394630,2024-07-01,105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211200","F","Q",102,0,"25-44","M","BLACK",1031076,193778,40.69843,-73.831128,"POINT (-73.831128 40.69843)"
289416631,2024-07-02,105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211300","F","K",67,0,"25-44","M","BLACK",997897,175676,40.648859,-73.95082,"POINT (-73.95082 40.648859)"
289436220,2024-07-01,153,"RAPE 3",104,"RAPE","PL 1302503","F","M",17,0,"45-64","M","WHITE HISPANIC",992245,215005,40.7568201683051,-73.9711432633524,"POINT (-73.9711432633524 40.7568201683051)"
289373822,2024-07-01,490,"STOLEN PROPERTY 3,POSSESSION",232,"POSSESSION OF STOLEN PROPERTY","PL 1654000","M","B",44,0,"25-44","M","BLACK HISPANIC",1006537,244511,40.837774,-73.919455,"POINT (-73.919455 40.837774)"
289455649,2024-07-02,268,"CRIMINAL MIS 2 & 3",121,"CRIMINAL MISCHIEF & RELATED OF","PL 1450502","F","M",28,0,"25-44","M","ASIAN / PACIFIC ISLANDER",996067,232328,40.8043546612217,-73.9573157409181,"POINT (-73.95731574091812 40.80435466122173)"
289424669,2024-07-02,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,"BURGLARY","PL 140251B","F","B",43,0,"25-44","M","BLACK",1021100,244445,40.837545,-73.866825,"POINT (-73.866825 40.837545)"
289391126,2024-07-01,750,"RESISTING ARREST",359,"OFFENSES AGAINST PUBLIC ADMINI","PL 2053000","M","M",18,0,"25-44","F","WHITE HISPANIC",990631,214404,40.755164,-73.976966,"POINT (-73.976966 40.755164)"
289373963,2024-07-01,748,"CONTEMPT,CRIMINAL",359,"OFFENSES AGAINST PUBLIC ADMINI","PL 2155006","M","Q",106,0,"25-44","M","ASIAN / PACIFIC ISLANDER",1034281,189498,40.686664,-73.819598,"POINT (-73.819598 40.686664)"
289397879,2024-07-02,114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 1211100","M","S",121,0,"45-64","M","BLACK",938877,169547,40.63193,-74.163466,"POINT (-74.163466 40.63193)"
289446225,2024-07-02,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","B",40,0,"25-44","M","BLACK",1007667,237199,40.817703,-73.915395,"POINT (-73.915395 40.817703)"
289352377,2024-07-01,105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211200","F","B",43,0,"45-64","M","BLACK",1021687,244893,40.838771,-73.864702,"POINT (-73.864702 40.838771)"
289416660,2024-07-02,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","Q",109,0,"18-24","M","BLACK HISPANIC",1030206,215367,40.757691,-73.834115,"POINT (-73.834115 40.757691)"
289373872,2024-07-01,109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200509","F","K",84,0,"25-44","M","WHITE",989235,189578,40.687025,-73.982024,"POINT (-73.982024 40.687025)"
289419183,2024-07-02,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,"GRAND LARCENY","PL 1553501","F","M",1,0,"<18","M","WHITE HISPANIC",981449,200102,40.715912,-74.010103,"POINT (-74.010103 40.715912)"
289387459,2024-07-01,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","K",67,0,"45-64","M","BLACK",1003291,180090,40.660962,-73.931366,"POINT (-73.931366 40.660962)"
289455586,2024-07-02,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","B",41,0,"25-44","M","BLACK",1014439,238406,40.820996,-73.890925,"POINT (-73.890925 40.820996)"
289455656,2024-07-02,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","Q",106,0,"25-44","M","WHITE HISPANIC",1024207,182356,40.667112,-73.855966,"POINT (-73.855966 40.667112)"
289458599,2024-07-02,918,"RECKLESS DRIVING",348,"VEHICLE AND TRAFFIC LAWS","VTL1212000","M","B",46,0,"25-44","M","BLACK",1010665,248582,40.848936,-73.90452,"POINT (-73.90452 40.848936)"
289356511,2024-07-01,268,"CRIMINAL MIS 2 & 3",121,"CRIMINAL MISCHIEF & RELATED OF","PL 1450502","F","K",71,0,"25-44","M","BLACK",1002419,180820,40.662969,-73.93451,"POINT (-73.93451 40.662969)"
289419190,2024-07-02,639,"AGGRAVATED HARASSMENT 2",361,"OFF. AGNST PUB ORD SENSBLTY &","PL 240301A","M","Q",102,0,"45-64","M","BLACK",1031076,193778,40.69843,-73.831128,"POINT (-73.831128 40.69843)"
289416663,2024-07-02,209,"BURGLARS TOOLS,UNCLASSIFIED",231,"BURGLAR'S TOOLS","PL 1403500","M","Q",105,0,"18-24","M","BLACK",1052823,186792,40.6791120077261,-73.7527718979085,"POINT (-73.75277189790849 40.679112007726125)"
289446264,2024-07-02,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","M",9,0,"18-24","F","WHITE HISPANIC",986930,206924,40.734637,-73.990328,"POINT (-73.990328 40.734637)"
289389367,2024-07-01,268,"CRIMINAL MIS 2 & 3",121,"CRIMINAL MISCHIEF & RELATED OF","PL 1450502","F","B",49,0,"25-44","M","ASIAN / PACIFIC ISLANDER",1021973,248592,40.848923,-73.863648,"POINT (-73.863648 40.848923)"
289410470,2024-07-02,503,"CONTROLLED SUBSTANCE,INTENT TO",117,"DANGEROUS DRUGS","PL 2201601","F","K",73,0,"25-44","M","WHITE HISPANIC",1009656,181287,40.664231,-73.908423,"POINT (-73.908423 40.664231)"
289459139,2024-07-02,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","B",40,0,"25-44","M","BLACK",1006789,237559,40.8186914493687,-73.9185691903263,"POINT (-73.9185691903263 40.81869144936867)"
289358729,2024-07-01,105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211300","F","K",60,0,"25-44","M","WHITE",994744,149344,40.576586,-73.962222,"POINT (-73.962222 40.576586)"
289432161,2024-07-02,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,"GRAND LARCENY","PL 1553004","F","M",9,0,"45-64","F","BLACK",987633,203879,40.726278,-73.987794,"POINT (-73.987794 40.726278)"
289373827,2024-07-01,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,"BURGLARY","PL 1402501","F","B",44,0,"45-64","M","WHITE HISPANIC",1006537,244511,40.837774,-73.919455,"POINT (-73.919455 40.837774)"
289394627,2024-07-01,109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1201001","F","M",6,0,"25-44","F","BLACK",982745,206647,40.733876,-74.005428,"POINT (-74.005428 40.733876)"
289449121,2024-07-02,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,"BURGLARY","PL 1402000","F","Q",105,0,"25-44","M","BLACK",1057766,203992,40.726284,-73.73476,"POINT (-73.73476 40.726284)"
289373938,2024-07-01,478,"THEFT OF SERVICES, UNCLASSIFIE",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651503","M","Q",103,17,"25-44","M","BLACK",1037559,194576,40.7005823290659,-73.8077418159171,"POINT (-73.80774181591707 40.70058232906593)"
289413221,2024-07-02,268,"CRIMINAL MIS 2 & 3",121,"CRIMINAL MISCHIEF & RELATED OF","PL 1450502","F","Q",113,0,"<18","M","BLACK",1046399,187126,40.680077,-73.775929,"POINT (-73.775929 40.680077)"
289419170,2024-07-02,478,"THEFT OF SERVICES, UNCLASSIFIE",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651503","M","B",40,1,"25-44","M","WHITE HISPANIC",1004368,237509,40.8185600589138,-73.927316129971,"POINT (-73.92731612997096 40.81856005891384)"
289459645,2024-07-02,759,"PUBLIC ADMINISTATION,UNCLASS M",359,"OFFENSES AGAINST PUBLIC ADMINI","PL 1950500","M","K",69,0,"18-24","M","BLACK",1008499,171443,40.637215,-73.912627,"POINT (-73.912627 40.637215)"
289373874,2024-07-01,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",71,0,"25-44","M","BLACK",1000996,178613,40.656915,-73.939645,"POINT (-73.939645 40.656915)"
289455636,2024-07-02,793,"WEAPONS POSSESSION 3",118,"DANGEROUS WEAPONS","PL 2650201","F","M",33,0,"45-64","M","WHITE HISPANIC",1001216,247300,40.8454401490566,-73.9386791531629,"POINT (-73.93867915316294 40.845440149056635)"
289455584,2024-07-02,511,"CONTROLLED SUBSTANCE, POSSESSI",235,"DANGEROUS DRUGS","PL 2200300","M","B",40,0,"25-44","M","BLACK HISPANIC",1006975,233621,40.807884,-73.91791,"POINT (-73.91791 40.807884)"
289424694,2024-07-02,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",115,0,"25-44","F","WHITE HISPANIC",1016767,212893,40.750961,-73.882637,"POINT (-73.882637 40.750961)"
289392868,2024-07-01,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",52,0,"18-24","F","BLACK HISPANIC",1017273,255924,40.869067,-73.8806,"POINT (-73.8806 40.869067)"
289416648,2024-07-02,106,"ASSAULT POLICE/PEACE OFFICER",106,"FELONY ASSAULT","PL 1200503","F","M",28,1,"25-44","M","BLACK",999342,233575,40.8077723446498,-73.945483292526,"POINT (-73.94548329252599 40.807772344649756)"
289458606,2024-07-02,203,"TRESPASS 3, CRIMINAL",352,"CRIMINAL TRESPASS","PL 140100F","M","K",61,0,"25-44","M","BLACK",1001680,157428,40.598764,-73.937234,"POINT (-73.937234 40.598764)"
289387477,2024-07-01,510,"CONTROLLED SUBSTANCE, INTENT T",117,"DANGEROUS DRUGS","PL 2200601","F","M",25,0,"18-24","F","WHITE HISPANIC",1003638,226954,40.789593,-73.929984,"POINT (-73.929984 40.789593)"
289407874,2024-07-02,114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 1211100","M","B",50,0,"25-44","M","WHITE HISPANIC",1010983,261033,40.883111,-73.90332,"POINT (-73.90332 40.883111)"
289373958,2024-07-01,105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211200","F","Q",105,0,"25-44","M","BLACK",1057766,203992,40.726284,-73.73476,"POINT (-73.73476 40.726284)"
289446250,2024-07-02,153,"RAPE 3",104,"RAPE","PL 1302503","F","K",67,0,"25-44","M","BLACK",997843,175671,40.6488507469884,-73.951016510623,"POINT (-73.951016510623 40.6488507469884)"
289352400,2024-07-01,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",108,0,"25-44","F","WHITE HISPANIC",1012107,212348,40.749479,-73.89946,"POINT (-73.89946 40.749479)"
289373801,2024-07-01,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",49,0,"45-64","M","BLACK",1027430,251104,40.855793,-73.843908,"POINT (-73.843908 40.855793)"
289459156,2024-07-02,759,"PUBLIC ADMINISTATION,UNCLASS M",359,"OFFENSES AGAINST PUBLIC ADMINI","PL 1950500","M","K",90,0,"18-24","F","BLACK HISPANIC",998177,197813,40.709619,-73.949765,"POINT (-73.949765 40.709619)"
289413240,2024-07-02,198,"CRIMINAL CONTEMPT 1",126,"MISCELLANEOUS PENAL LAW","PL 21551B1","F","Q",114,0,"25-44","M","WHITE",1007694,219656,40.769552,-73.915361,"POINT (-73.915361 40.769552)"
289356898,2024-07-01,109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","M",24,0,"45-64","M","WHITE HISPANIC",994001,230434,40.799161,-73.96478,"POINT (-73.96478 40.799161)"
289441052,2024-07-02,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,"CRIMINAL MISCHIEF & RELATED OF","PL 1450501","F","M",13,0,"25-44","M","WHITE",986958,207954,40.737464,-73.990226,"POINT (-73.990226 40.737464)"
289373930,2024-07-01,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,"ROBBERY","PL 1601001","F","M",14,0,"<18","M","WHITE HISPANIC",985802,213780,40.753455,-73.994398,"POINT (-73.994398 40.753455)"
289396999,2024-07-01,782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650101","M","M",34,0,"18-24","M","BLACK",1006901,254647,40.8655927088114,-73.9181068306308,"POINT (-73.91810683063079 40.86559270881139)"
289452522,2024-07-02,113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","B",44,0,"65+","M","WHITE HISPANIC",1006176,243359,40.834615,-73.920764,"POINT (-73.920764 40.834615)"
289461059,2024-07-02,268,"CRIMINAL MIS 2 & 3",121,"CRIMINAL MISCHIEF & RELATED OF","PL 1450502","F","K",66,0,"25-44","M","BLACK HISPANIC",985737,171520,40.6374592055951,-73.99464223194,"POINT (-73.99464223194005 40.63745920559514)"
289410472,2024-07-02,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,"ROBBERY","PL 160102A","F","K",63,0,"25-44","M","WHITE HISPANIC",1000520,168264,40.628508,-73.941384,"POINT (-73.941384 40.628508)"
289436199,2024-07-02,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",71,0,"18-24","M","BLACK",1001271,180869,40.663106,-73.938647,"POINT (-73.938647 40.663106)"
289394628,2024-07-01,109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","M",23,0,"<18","F","BLACK",998828,226859,40.789341,-73.947351,"POINT (-73.947351 40.789341)"
289449073,2024-07-02,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","B",42,0,"25-44","M","BLACK",1011891,245210,40.8396767503639,-73.9001047438345,"POINT (-73.90010474383453 40.83967675036386)"
289436222,2024-07-02,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,"ROBBERY","PL 1601001","F","M",14,0,"<18","M","BLACK",985802,213780,40.753455,-73.994398,"POINT (-73.994398 40.753455)"
289377679,2024-07-01,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","K",90,0,"25-44","M","WHITE HISPANIC",999700,195491,40.703241,-73.944274,"POINT (-73.944274 40.703241)"
289452554,2024-07-02,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",5,0,"18-24","F","BLACK",985491,198486,40.711476,-73.995522,"POINT (-73.995522 40.711476)"
289410477,2024-07-02,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,"ROBBERY","PL 1601503","F","K",68,0,"18-24","M","WHITE HISPANIC",978015,171958,40.638659,-74.022462,"POINT (-74.022462 40.638659)"
289446248,2024-07-02,707,"IMPERSONATION 2, PUBLIC SERVAN",340,"FRAUDS","PL 1902300","M","K",71,0,"25-44","M","WHITE HISPANIC",996283,183520,40.670391,-73.956621,"POINT (-73.956621 40.670391)"
289373853,2024-07-01,105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211200","F","K",79,0,"25-44","M","BLACK",999507,190206,40.688736,-73.944984,"POINT (-73.944984 40.688736)"
289416621,2024-07-02,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,"BURGLARY","PL 1402000","F","B",45,0,"25-44","M","WHITE",1032140,242004,40.830792,-73.826946,"POINT (-73.826946 40.830792)"
289356517,2024-07-01,904,"INTOXICATED DRIVING,ALCOHOL",119,"INTOXICATED/IMPAIRED DRIVING","VTL11920E2","F","S",120,0,"25-44","M","BLACK HISPANIC",952412,170901,40.6357030881057,-74.1147116201609,"POINT (-74.11471162016095 40.63570308810574)"
289373892,2024-07-01,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","K",84,0,"45-64","M","BLACK",988837,191028,40.691005,-73.983456,"POINT (-73.983456 40.691005)"
289373947,2024-07-01,113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","Q",101,0,"25-44","M","WHITE HISPANIC",1051393,155692,40.593762,-73.758234,"POINT (-73.758234 40.593762)"
289459173,2024-07-02,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",114,0,"25-44","M","BLACK",1002806,221796,40.775436,-73.933002,"POINT (-73.933002 40.775436)"
289407869,2024-07-02,109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","B",48,0,"45-64","F","BLACK",1015132,247522,40.846012,-73.888379,"POINT (-73.888379 40.846012)"
289480583,2024-07-02,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",113,0,"18-24","F","WHITE HISPANIC",1041947,187127,40.680112,-73.79198,"POINT (-73.79198 40.680112)"
289351551,2024-07-01,477,"THEFT OF SERVICES- CABLE TV SE",678,"MISCELLANEOUS PENAL LAW","PL 1651509","V","M",10,0,"25-44","M","WHITE",983026,209711,40.7422847364907,-74.0044170988681,"POINT (-74.00441709886807 40.74228473649071)"
289359787,2024-07-01,101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",47,0,"25-44","M","BLACK",1026486,262591,40.887325,-73.847247,"POINT (-73.847247 40.887325)"
289419168,2024-07-02,113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","B",41,0,"25-44","F","WHITE HISPANIC",1013096,236605,40.816057,-73.895785,"POINT (-73.895785 40.816057)"
289455629,2024-07-02,339,"LARCENY,PETIT FROM OPEN AREAS,",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"45-64","M","WHITE",987220,212676,40.750423,-73.98928,"POINT (-73.98928 40.750423)"
289452548,2024-07-02,515,"CONTROLLED SUBSTANCE,SALE 3",117,"DANGEROUS DRUGS","PL 2203901","F","M",30,0,"18-24","M","BLACK HISPANIC",999750,241187,40.828666,-73.943989,"POINT (-73.943989 40.828666)"
289436224,2024-07-02,793,"WEAPONS POSSESSION 3",118,"DANGEROUS WEAPONS","PL 2650201","F","M",13,0,"25-44","M","WHITE",987366,208421,40.738744,-73.988753,"POINT (-73.988753 40.738744)"
289373909,2024-07-01,109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","M",9,0,"45-64","M","WHITE",985793,204065,40.72679,-73.99443,"POINT (-73.99443 40.72679)"
289395348,2024-07-01,106,"ASSAULT POLICE/PEACE OFFICER",106,"FELONY ASSAULT","PL 1200800","F","K",75,0,"45-64","M","BLACK",1016225,181755,40.6654944399902,-73.8847433174687,"POINT (-73.88474331746866 40.66549443999021)"
289458614,2024-07-02,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,"MISCELLANEOUS PENAL LAW","PL 215510D","F","K",73,0,"45-64","M","BLACK",1008227,183789,40.671104,-73.913562,"POINT (-73.913562 40.671104)"
